date,mean_vintage_age_days
2025-08-21,355.150120
2025-08-22,359.942409
2025-08-23,361.005338
2025-08-24,372.360550
2025-08-25,373.972336
2025-08-26,379.071692
2025-08-27,405.271685
2025-08-28,408.449221
2025-08-29,409.460609
2025-08-30,407.686810
2025-08-31,404.637081
2025-09-01,399.596151
2025-09-02,378.166109
2025-09-03,363.769165
2025-09-04,363.674493
2025-09-05,363.942283
2025-09-06,353.701520
2025-09-07,354.039833
2025-09-08,354.446405
2025-09-09,354.415036
2025-09-10,349.444212
2025-09-11,344.520198
2025-09-12,334.793040
2025-09-13,335.183078
2025-09-14,335.384686
2025-09-15,331.848617
2025-09-16,328.406723
2025-09-17,323.829133
2025-09-18,322.976016
2025-09-19,321.222445
2025-09-20,321.515194
2025-09-21,322.071234
2025-09-22,322.777176
2025-09-23,323.531665
2025-09-24,326.830339
2025-09-25,336.768322
2025-09-26,347.992915
2025-09-27,348.971820
2025-09-28,350.197220
2025-09-29,351.529770
2025-09-30,353.114093
2025-10-01,355.563056
2025-10-02,356.414317
2025-10-03,357.328685
2025-10-04,358.612458
2025-10-05,359.795126
2025-10-06,360.973603
2025-10-07,362.075783
2025-10-08,361.961043
2025-10-09,362.162485
2025-10-10,363.095102
2025-10-11,363.838648
2025-10-12,364.731938
2025-10-13,365.562687
2025-10-14,366.673208
2025-10-15,368.691887
2025-10-16,369.897334
2025-10-17,370.993561
2025-10-18,371.932792
2025-10-19,372.959913
2025-10-20,374.044072
2025-10-21,376.485976
2025-10-22,378.982845
2025-10-23,380.918217
2025-10-24,382.788623
2025-10-25,384.249961
2025-10-26,395.792148
2025-10-27,398.032773
2025-10-28,398.753530
2025-10-29,406.173775
2025-10-30,426.803474
2025-10-31,426.697730
2025-11-01,427.943037
2025-11-02,428.465573
2025-11-03,429.457339
2025-11-04,430.383899
2025-11-05,431.279645
2025-11-06,430.557026
2025-11-07,411.403121
2025-11-08,402.820613
2025-11-09,403.117091
2025-11-10,403.648526
2025-11-11,394.505097
2025-11-12,395.331479
2025-11-13,395.999625
2025-11-14,396.923539
2025-11-15,397.262178
2025-11-16,398.166570
2025-11-17,399.040345
2025-11-18,399.921118
2025-11-19,400.572928
2025-11-20,401.480050
2025-11-21,401.860009
2025-11-22,402.635266
2025-11-23,403.606119
2025-11-24,404.546756
2025-11-25,404.451568
2025-11-26,396.917880
2025-11-27,394.701351
2025-11-28,394.294141
2025-11-29,393.929680
2025-11-30,392.285163
2025-12-01,389.764354
2025-12-02,390.495634
2025-12-03,391.009691
2025-12-04,395.555140
2025-12-05,395.610966
2025-12-06,396.665551
2025-12-07,397.698576
2025-12-08,398.764776
2025-12-09,399.789460
2025-12-10,400.797567
2025-12-11,401.821870
2025-12-12,402.846072
2025-12-13,403.846072
2025-12-14,405.297517
2025-12-15,406.239520
2025-12-16,407.165398
2025-12-17,408.080314
2025-12-18,408.957711
2025-12-19,409.859613
2025-12-20,410.761401
2025-12-21,411.681266
