date,p10,p25,p50,p75,p90,models_with_data
2025-10-02,0.14311270125223613,0.2621722846441948,0.8103727714748784,3.1331592689295036,6.8493150684931505,170
2025-10-03,0.14311270125223613,0.2621722846441948,0.8103727714748784,3.1899562578413754,6.8493150684931505,170
2025-10-04,0.14591351800654126,0.2636704119850188,0.8103727714748784,3.208888587478666,6.8493150684931505,170
2025-10-05,0.14731392638369384,0.2644194756554307,0.8103727714748784,3.218354752297311,6.8493150684931505,170
2025-10-06,0.14815417140998538,0.2648689138576779,0.8103727714748784,3.2240344511884986,6.8493150684931505,170
2025-10-07,0.14846806107121185,0.2651685393258427,0.8103727714748784,3.2480259373209766,6.899302622612329,171
2025-10-08,0.14869226797208793,0.265382557517389,0.8103727714748784,3.2651627131298895,6.935008018411742,171
2025-10-09,0.14886042314774497,0.2655430711610487,0.8103727714748784,3.278015294986574,6.961787065261302,171
2025-10-10,0.14844940838939338,0.2669024830073519,0.8013030123411425,3.261920180980233,6.982615212810959,177
2025-10-11,0.1481205965827121,0.26799001248439447,0.7940472050341538,3.2490440897751602,6.999277730850686,178
2025-10-12,0.14785156874088198,0.26887980932924754,0.7881106354193448,3.238509106061919,7.012910700155916,178
2025-10-13,0.1476273788726902,0.2696213066999584,0.7831634940736706,3.229729952967551,7.024271507910275,178
2025-10-14,0.147437679753451,0.27024872755209833,0.7789774513965617,3.2223014388107782,7.033884499087041,178
2025-10-15,0.14727508050838883,0.2707865168539326,0.7753894148161827,3.2159341409621156,7.042124205809982,178
2025-10-16,0.1474214082991277,0.2719011949349028,0.7695588553730668,3.2159341409621156,7.06354744328963,178
2025-10-17,0.14791603745092116,0.27340932595890105,0.7637282959299508,3.207820285403277,7.186555550642161,185
2025-10-18,0.14781049158393494,0.27459642969557985,0.7605005352838495,3.2078202854032765,7.30956365799469,186
2025-10-19,0.14770494571694873,0.27578353343225864,0.7572727746377481,3.2078202854032765,7.43257176534722,186
2025-10-20,0.14759939984996248,0.27697063716893744,0.7540450139916467,3.2078202854032765,7.5555798726997505,186
2025-10-21,0.14759939984996248,0.27815774090561624,0.7508172533455454,3.1991609910296965,7.657164742572632,186
2025-10-22,0.14759939984996248,0.278951391699267,0.7475894926994441,3.1905016966561166,7.758749612445514,186
2025-10-23,0.14759939984996248,0.2797450424929178,0.7417589332563281,3.1818424022825362,7.860334482318398,185
2025-10-24,0.14794770121101702,0.2797450424929179,0.7443617320533428,3.189956257841375,7.961919352191279,186
2025-10-25,0.1482960025720716,0.2797450424929178,0.7469645308503574,3.1980701134002136,8.06350422206416,186
2025-10-26,0.14864430393312614,0.2797450424929178,0.7495673296473718,3.2061839689590528,8.165089091937043,186
2025-10-27,0.1489926052941807,0.2797450424929178,0.7496245939047403,3.2142978245178915,8.266673961809925,187
2025-10-28,0.14934090665523522,0.2797450424929179,0.7496818581621089,3.2224116800767297,8.368258831682807,187
2025-10-29,0.14968920801628977,0.2801384954359458,0.7497391224194773,3.230525535635569,8.469843701555689,188
2025-10-30,0.15003750937734434,0.2801384954359459,0.7497391224194773,3.230525535635569,8.571428571428571,189
2025-10-31,0.15003750937734434,0.2797450424929179,0.7497391224194773,3.2386393911944076,8.571428571428571,188
2025-11-01,0.15003750937734434,0.2793515895498898,0.7471363236224626,3.238639391194408,8.586782324132288,189
2025-11-02,0.15014305524433058,0.2789581366068618,0.7445907890828166,3.238639391194408,8.602136076836006,190
2025-11-03,0.15014305524433055,0.2785646836638338,0.741987990285802,3.238639391194408,8.617489829539723,189
2025-11-04,0.15014305524433055,0.2781712307208058,0.7393851914887873,3.238639391194408,8.63284358224344,189
2025-11-05,0.1502486011113168,0.2781712307208058,0.7368396569491413,3.238639391194408,8.64819733494716,190
2025-11-06,0.1502486011113168,0.2781712307208058,0.7368396569491413,3.238639391194408,8.663551087650877,189
2025-11-07,0.1502486011113168,0.2781712307208058,0.7342368581521267,3.247298685567988,8.678904840354592,188
2025-11-08,0.1502486011113168,0.2781712307208058,0.7316340593551122,3.247298685567988,8.69425859305831,189
2025-11-09,0.1502486011113168,0.2781712307208058,0.7290312605580976,3.2472986855679875,8.709612345762029,189
2025-11-10,0.1502486011113168,0.2781712307208058,0.7289739963007291,3.247298685567988,8.724966098465746,189
2025-11-11,0.1502486011113168,0.2781712307208058,0.7289167320433606,3.247298685567988,8.740319851169463,189
2025-11-12,0.1502486011113168,0.2777777777777778,0.7288594677859921,3.247298685567988,8.75567360387318,189
2025-11-13,0.1502486011113168,0.2777777777777778,0.7288594677859921,3.2554125411268267,8.771027356576898,189
2025-11-14,0.1502486011113168,0.2777777777777778,0.7288594677859921,3.255412541126827,8.786381109280615,189
2025-11-15,0.1502486011113168,0.2777777777777778,0.7288594677859921,3.2554125411268267,8.786381109280615,189
2025-11-16,0.15014305524433058,0.2777777777777778,0.7288022035286236,3.264071835500407,8.786381109280615,188
2025-11-17,0.15014305524433055,0.2777777777777778,0.7288022035286236,3.2640718355004066,8.786381109280615,189
2025-11-18,0.15014305524433055,0.2777777777777778,0.7288022035286236,3.272731129873987,8.786381109280615,188
2025-11-19,0.15003750937734434,0.2777777777777778,0.7287449392712552,3.2813904242475673,8.786381109280615,188
2025-11-20,0.14968920801628977,0.2781712307208058,0.7313477380682698,3.302997034141666,8.786381109280615,194
2025-11-21,0.14934090665523522,0.2785646836638338,0.7339505368652842,3.317074107042268,8.786381109280615,194
2025-11-22,0.1489926052941807,0.27896376802876255,0.7330090059359933,3.338680716936367,8.786381109280615,197
